date,ccaa,cases,uci,deaths
2020-02-28,Asturias,0,NA,NA
2020-02-28,Baleares,2,NA,NA
2020-02-28,Canarias,6,NA,NA
2020-02-28,Cantabria,0,NA,NA
2020-02-28,CLM,0,NA,NA
2020-02-28,CyL,2,NA,NA
2020-02-28,Cataluña,5,NA,NA
2020-02-28,Ceuta,0,NA,NA
2020-02-28,C. Valenciana,10,3,NA
2020-02-28,Extremadura,0,NA,NA
2020-02-28,Galicia,0,NA,NA
2020-02-28,Madrid,0,NA,NA
2020-02-28,Melilla,0,NA,NA
2020-02-28,Murcia,0,NA,NA
2020-02-28,Navarra,0,NA,NA
2020-02-28,País Vasco,2,NA,NA
2020-02-28,La Rioja,0,NA,NA
2020-02-29,Andalucía,0,NA,NA
2020-02-29,Aragón,0,NA,NA
2020-02-29,Asturias,1,NA,NA
2020-02-29,Baleares,2,NA,NA
2020-02-29,Canarias,7,NA,NA
2020-02-29,Cantabria,1,NA,NA
2020-02-29,CLM,1,NA,NA
2020-02-29,CyL,2,NA,NA
2020-02-29,Cataluña,6,NA,NA
2020-02-29,Ceuta,0,NA,NA
2020-02-29,C. Valenciana,15,3,NA
2020-02-29,Extremadura,4,NA,NA
2020-02-29,Galicia,0,NA,NA
2020-02-29,Madrid,0,NA,NA
2020-02-29,Melilla,0,NA,NA
2020-02-29,Murcia,0,NA,NA
2020-02-29,Navarra,1,NA,NA
2020-02-29,País Vasco,3,NA,NA
2020-02-29,La Rioja,0,NA,NA
2020-03-01,Andalucía,0,NA,NA
2020-03-01,Aragón,0,NA,NA
2020-03-01,Asturias,1,NA,NA
2020-03-01,Baleares,2,NA,NA
2020-03-01,Canarias,7,NA,NA
2020-03-01,Cantabria,10,NA,NA
2020-03-01,CLM,3,NA,NA
2020-03-01,CyL,2,NA,NA
2020-03-01,Cataluña,15,NA,NA
2020-03-01,Ceuta,0,NA,NA
2020-03-01,C. Valenciana,15,3,NA
2020-03-01,Extremadura,6,NA,NA
2020-03-01,Galicia,0,NA,NA
2020-03-01,Madrid,0,NA,NA
2020-03-01,Melilla,0,NA,NA
2020-03-01,Murcia,0,NA,NA
2020-03-01,Navarra,1,NA,NA
2020-03-01,País Vasco,9,NA,NA
2020-03-01,La Rioja,1,NA,NA
2020-03-02,Andalucía,0,NA,NA
2020-03-02,Aragón,0,NA,NA
2020-03-02,Asturias,1,NA,NA
2020-03-02,Baleares,2,NA,NA
2020-03-02,Canarias,7,NA,NA
2020-03-02,Cantabria,10,NA,NA
2020-03-02,CLM,7,NA,NA
2020-03-02,CyL,7,NA,NA
2020-03-02,Cataluña,15,NA,NA
2020-03-02,Ceuta,0,NA,NA
2020-03-02,C. Valenciana,15,3,NA
2020-03-02,Extremadura,6,NA,NA
2020-03-02,Galicia,0,NA,NA
2020-03-02,Madrid,0,NA,NA
2020-03-02,Melilla,0,NA,NA
2020-03-02,Murcia,0,NA,NA
2020-03-02,Navarra,1,NA,NA
2020-03-02,País Vasco,13,NA,NA
2020-03-02,La Rioja,3,NA,NA
2020-03-03,Andalucía,0,NA,NA
2020-03-03,Aragón,0,NA,NA
2020-03-03,Asturias,2,NA,NA
2020-03-03,Baleares,5,NA,NA
2020-03-03,Canarias,7,NA,NA
2020-03-03,Cantabria,10,NA,NA
2020-03-03,CLM,12,NA,NA
2020-03-03,CyL,8,NA,NA
2020-03-03,Cataluña,15,NA,NA
2020-03-03,Ceuta,0,NA,NA
2020-03-03,C. Valenciana,19,5,NA
2020-03-03,Extremadura,6,NA,NA
2020-03-03,Galicia,1,NA,NA
2020-03-03,Madrid,0,NA,NA
2020-03-03,Melilla,0,NA,NA
2020-03-03,Murcia,0,NA,NA
2020-03-03,Navarra,3,NA,NA
2020-03-03,País Vasco,17,NA,NA
2020-03-03,La Rioja,7,NA,NA
2020-03-04,Andalucía,0,NA,NA
2020-03-04,Aragón,1,NA,NA
2020-03-04,Asturias,5,NA,NA
2020-03-04,Baleares,6,NA,NA
2020-03-04,Canarias,8,NA,NA
2020-03-04,Cantabria,10,NA,NA
2020-03-04,CLM,13,NA,NA
2020-03-04,CyL,12,NA,NA
2020-03-04,Cataluña,24,NA,NA
2020-03-04,Ceuta,0,NA,NA
2020-03-04,C. Valenciana,19,6,NA
2020-03-04,Extremadura,6,NA,NA
2020-03-04,Galicia,1,NA,NA
2020-03-04,Madrid,0,NA,NA
2020-03-04,Melilla,0,NA,NA
2020-03-04,Murcia,0,NA,NA
2020-03-04,Navarra,3,NA,NA
2020-03-04,País Vasco,17,NA,NA
2020-03-04,La Rioja,11,NA,NA
2020-03-05,Andalucía,0,NA,NA
2020-03-05,Aragón,6,NA,NA
2020-03-05,Asturias,5,NA,NA
2020-03-05,Baleares,6,NA,NA
2020-03-05,Canarias,11,NA,NA
2020-03-05,Cantabria,10,NA,NA
2020-03-05,CLM,15,NA,NA
2020-03-05,CyL,13,NA,NA
2020-03-05,Cataluña,24,NA,NA
2020-03-05,Ceuta,0,NA,NA
2020-03-05,C. Valenciana,30,8,NA
2020-03-05,Extremadura,6,NA,NA
2020-03-05,Galicia,3,NA,NA
2020-03-05,Madrid,0,NA,NA
2020-03-05,Melilla,0,NA,NA
2020-03-05,Murcia,0,NA,NA
2020-03-05,Navarra,3,NA,NA
2020-03-05,País Vasco,45,NA,NA
2020-03-05,La Rioja,29,NA,NA
2020-03-06,Andalucía,0,NA,NA
2020-03-06,Aragón,11,NA,NA
2020-03-06,Asturias,5,NA,NA
2020-03-06,Baleares,6,NA,NA
2020-03-06,Canarias,11,NA,NA
2020-03-06,Cantabria,10,NA,NA
2020-03-06,CLM,15,NA,NA
2020-03-06,CyL,14,NA,NA
2020-03-06,Cataluña,24,NA,NA
2020-03-06,Ceuta,0,NA,NA
2020-03-06,C. Valenciana,30,8,NA
2020-03-06,Extremadura,6,NA,NA
2020-03-06,Galicia,3,NA,NA
2020-03-06,Madrid,0,NA,NA
2020-03-06,Melilla,0,NA,NA
2020-03-06,Murcia,0,NA,NA
2020-03-06,Navarra,3,NA,NA
2020-03-06,País Vasco,45,NA,NA
2020-03-06,La Rioja,39,NA,NA
2020-03-07,Andalucía,0,NA,NA
2020-03-07,Aragón,11,NA,NA
2020-03-07,Asturias,7,NA,NA
2020-03-07,Baleares,8,NA,NA
2020-03-07,Canarias,17,NA,NA
2020-03-07,Cantabria,12,NA,NA
2020-03-07,CLM,15,NA,NA
2020-03-07,CyL,21,NA,NA
2020-03-07,Cataluña,49,NA,NA
2020-03-07,Ceuta,0,NA,NA
2020-03-07,C. Valenciana,37,9,NA
2020-03-07,Extremadura,6,NA,NA
2020-03-07,Galicia,5,NA,NA
2020-03-07,Madrid,0,NA,NA
2020-03-07,Melilla,0,NA,NA
2020-03-07,Murcia,1,NA,NA
2020-03-07,Navarra,3,NA,NA
2020-03-07,País Vasco,70,NA,NA
2020-03-07,La Rioja,55,NA,NA
2020-03-08,Andalucía,0,1,0
2020-03-08,Aragón,13,3,3
2020-03-08,Asturias,7,2,0
2020-03-08,Baleares,11,1,0
2020-03-08,Canarias,22,0,0
2020-03-08,Cantabria,12,0,0
2020-03-08,CLM,26,2,0
2020-03-08,CyL,30,2,0
2020-03-08,Cataluña,59,5,2
2020-03-08,Ceuta,0,0,0
2020-03-08,C. Valenciana,37,9,1
2020-03-08,Extremadura,7,0,0
2020-03-08,Galicia,6,2,0
2020-03-08,Madrid,0,53,16
2020-03-08,Melilla,0,0,0
2020-03-08,Murcia,4,0,0
2020-03-08,Navarra,3,1,0
2020-03-08,País Vasco,149,5,6
2020-03-08,La Rioja,81,1,0
2020-03-09,Andalucía,0,1,0
2020-03-09,Aragón,38,3,4
2020-03-09,Asturias,22,2,0
2020-03-09,Baleares,13,1,0
2020-03-09,Canarias,25,1,0
2020-03-09,Cantabria,12,0,0
2020-03-09,CLM,39,3,0
2020-03-09,CyL,40,2,0
2020-03-09,Cataluña,82,7,2
2020-03-09,Ceuta,0,0,0
2020-03-09,C. Valenciana,50,10,1
2020-03-09,Extremadura,8,0,0
2020-03-09,Galicia,22,2,0
2020-03-09,Madrid,0,77,21
2020-03-09,Melilla,0,0,0
2020-03-09,Murcia,9,0,0
2020-03-09,Navarra,12,2,0
2020-03-09,País Vasco,195,5,6
2020-03-09,La Rioja,144,1,1
2020-03-10,Andalucía,0,3,0
2020-03-10,Aragón,45,3,4
2020-03-10,Asturias,32,2,0
2020-03-10,Baleares,16,1,0
2020-03-10,Canarias,37,1,0
2020-03-10,Cantabria,12,0,0
2020-03-10,CLM,71,5,0
2020-03-10,CyL,64,2,0
2020-03-10,Cataluña,123,8,3
2020-03-10,Ceuta,0,0,0
2020-03-10,C. Valenciana,65,12,1
2020-03-10,Extremadura,9,1,1
2020-03-10,Galicia,35,2,0
2020-03-10,Madrid,0,102,31
2020-03-10,Melilla,0,0,0
2020-03-10,Murcia,11,0,0
2020-03-10,Navarra,46,3,0
2020-03-10,País Vasco,225,15,6
2020-03-10,La Rioja,179,1,2
2020-03-11,Andalucía,0,4,0
2020-03-11,Aragón,64,3,6
2020-03-11,Asturias,47,2,1
2020-03-11,Baleares,22,2,1
2020-03-11,Canarias,51,3,0
2020-03-11,Cantabria,16,0,0
2020-03-11,CLM,115,9,1
2020-03-11,CyL,71,2,0
2020-03-11,Cataluña,202,16,6
2020-03-11,Ceuta,0,0,0
2020-03-11,C. Valenciana,76,15,1
2020-03-11,Extremadura,19,1,1
2020-03-11,Galicia,35,2,0
2020-03-11,Madrid,0,135,56
2020-03-11,Melilla,0,0,0
2020-03-11,Murcia,26,1,0
2020-03-11,Navarra,73,3,0
2020-03-11,País Vasco,346,18,11
2020-03-11,La Rioja,205,1,2
2020-03-12,Andalucía,0,8,0
2020-03-12,Aragón,80,3,7
2020-03-12,Asturias,67,2,1
2020-03-12,Baleares,28,2,1
2020-03-12,Canarias,70,3,0
2020-03-12,Cantabria,29,0,0
2020-03-12,CLM,194,10,5
2020-03-12,CyL,92,4,0
2020-03-12,Cataluña,349,22,9
2020-03-12,Ceuta,0,0,0
2020-03-12,C. Valenciana,94,22,1
2020-03-12,Extremadura,39,1,1
2020-03-12,Galicia,85,2,0
2020-03-12,Madrid,0,180,81
2020-03-12,Melilla,2,0,0
2020-03-12,Murcia,35,2,0
2020-03-12,Navarra,130,4,0
2020-03-12,País Vasco,417,20,14
2020-03-12,La Rioja,243,2,3
2020-03-13,Andalucía,0,8,2
2020-03-13,Aragón,121,5,7
2020-03-13,Asturias,92,2,1
2020-03-13,Baleares,28,2,1
2020-03-13,Canarias,90,6,1
2020-03-13,Cantabria,31,0,0
2020-03-13,CLM,289,10,6
2020-03-13,CyL,169,8,1
2020-03-13,Cataluña,558,29,13
2020-03-13,Ceuta,0,0,0
2020-03-13,C. Valenciana,130,29,4
2020-03-13,Extremadura,66,1,2
2020-03-13,Galicia,115,7,0
2020-03-13,Madrid,0,180,86
2020-03-13,Melilla,3,0,0
2020-03-13,Murcia,47,2,0
2020-03-13,Navarra,146,4,0
2020-03-13,País Vasco,521,22,14
2020-03-13,La Rioja,278,2,3
2020-03-14,Andalucía,0,8,6
2020-03-14,Aragón,147,5,7
2020-03-14,Asturias,137,3,1
2020-03-14,Baleares,42,2,1
2020-03-14,Canarias,109,6,1
2020-03-14,Cantabria,51,0,0
2020-03-14,CLM,401,10,10
2020-03-14,CyL,223,8,3
2020-03-14,Cataluña,742,40,15
2020-03-14,Ceuta,1,0,0
2020-03-14,C. Valenciana,409,37,5
2020-03-14,Extremadura,95,1,2
2020-03-14,Galicia,195,8,2
2020-03-14,Madrid,0,253,213
2020-03-14,Melilla,8,0,0
2020-03-14,Murcia,71,2,0
2020-03-14,Navarra,183,4,0
2020-03-14,País Vasco,630,29,23
2020-03-14,La Rioja,300,7,3
2020-03-15,Andalucía,0,11,7
2020-03-15,Aragón,174,7,11
2020-03-15,Asturias,177,3,1
2020-03-15,Baleares,73,4,1
2020-03-15,Canarias,119,9,1
2020-03-15,Cantabria,58,2,0
2020-03-15,CLM,567,23,17
2020-03-15,CyL,292,8,6
2020-03-15,Cataluña,1017,52,20
2020-03-15,Ceuta,1,0,0
2020-03-15,C. Valenciana,409,47,5
2020-03-15,Extremadura,111,1,2
2020-03-15,Galicia,245,9,2
2020-03-15,Madrid,0,253,213
2020-03-15,Melilla,8,0,0
2020-03-15,Murcia,77,2,0
2020-03-15,Navarra,274,5,1
2020-03-15,País Vasco,630,29,23
2020-03-15,La Rioja,312,13,4
2020-03-16,Andalucía,0,13,11
2020-03-16,Aragón,207,9,12
2020-03-16,Asturias,193,5,1
2020-03-16,Baleares,92,4,1
2020-03-16,Canarias,148,13,2
2020-03-16,Cantabria,58,2,0
2020-03-16,CLM,567,23,17
2020-03-16,CyL,431,24,12
2020-03-16,Cataluña,1414,73,23
2020-03-16,Ceuta,1,0,0
2020-03-16,C. Valenciana,541,52,13
2020-03-16,Extremadura,153,2,3
2020-03-16,Galicia,292,9,3
2020-03-16,Madrid,0,340,355
2020-03-16,Melilla,17,0,0
2020-03-16,Murcia,97,3,0
2020-03-16,Navarra,313,10,2
2020-03-16,País Vasco,765,33,36
2020-03-16,La Rioja,355,13,5
2020-03-17,Andalucía,0,21,19
2020-03-17,Aragón,226,9,13
2020-03-17,Asturias,242,5,1
2020-03-17,Baleares,112,4,1
2020-03-17,Canarias,181,17,3
2020-03-17,Cantabria,68,3,1
2020-03-17,CLM,675,29,28
2020-03-17,CyL,668,43,22
2020-03-17,Cataluña,1866,101,33
2020-03-17,Ceuta,1,0,0
2020-03-17,C. Valenciana,726,65,22
2020-03-17,Extremadura,194,3,6
2020-03-17,Galicia,341,12,3
2020-03-17,Madrid,0,491,390
2020-03-17,Melilla,20,0,0
2020-03-17,Murcia,122,4,0
2020-03-17,Navarra,386,10,3
2020-03-17,País Vasco,973,37,40
2020-03-17,La Rioja,419,13,5
2020-03-18,Andalucía,0,25,23
2020-03-18,Aragón,281,14,15
2020-03-18,Asturias,292,6,1
2020-03-18,Baleares,169,7,2
2020-03-18,Canarias,220,23,3
2020-03-18,Cantabria,83,4,1
2020-03-18,CLM,801,37,42
2020-03-18,CyL,868,54,29
2020-03-18,Cataluña,2702,118,53
2020-03-18,Ceuta,1,0,0
2020-03-18,C. Valenciana,921,85,24
2020-03-18,Extremadura,241,3,8
2020-03-18,Galicia,453,15,4
2020-03-18,Madrid,0,590,498
2020-03-18,Melilla,23,0,0
2020-03-18,Murcia,167,6,0
2020-03-18,Navarra,482,11,4
2020-03-18,País Vasco,1190,44,53
2020-03-18,La Rioja,468,15,5
2020-03-19,Andalucía,0,38,30
2020-03-19,Aragón,360,28,17
2020-03-19,Asturias,344,7,2
2020-03-19,Baleares,203,10,2
2020-03-19,Canarias,287,25,4
2020-03-19,Cantabria,144,7,1
2020-03-19,CLM,1044,37,42
2020-03-19,CyL,1147,69,43
2020-03-19,Cataluña,3270,175,93
2020-03-19,Ceuta,5,0,0
2020-03-19,C. Valenciana,1105,101,33
2020-03-19,Extremadura,297,4,10
2020-03-19,Galicia,578,19,5
2020-03-19,Madrid,0,678,628
2020-03-19,Melilla,24,1,0
2020-03-19,Murcia,204,11,0
2020-03-19,Navarra,554,19,5
2020-03-19,País Vasco,1465,53,71
2020-03-19,La Rioja,497,15,7
2020-03-20,Andalucía,0,53,40
2020-03-20,Aragón,424,33,22
2020-03-20,Asturias,486,12,5
2020-03-20,Baleares,246,14,4
2020-03-20,Canarias,348,29,7
2020-03-20,Cantabria,215,9,2
2020-03-20,CLM,1423,65,84
2020-03-20,CyL,1466,85,55
2020-03-20,Cataluña,4203,271,122
2020-03-20,Ceuta,5,0,0
2020-03-20,C. Valenciana,1363,129,50
2020-03-20,Extremadura,354,6,12
2020-03-20,Galicia,739,29,9
2020-03-20,Madrid,0,767,804
2020-03-20,Melilla,25,1,0
2020-03-20,Murcia,240,14,1
2020-03-20,Navarra,664,25,9
2020-03-20,País Vasco,1725,71,85
2020-03-20,La Rioja,564,17,15
2020-03-21,Andalucía,0,55,47
2020-03-21,Aragón,532,45,24
2020-03-21,Asturias,545,15,8
2020-03-21,Baleares,331,14,4
2020-03-21,Canarias,414,32,9
2020-03-21,Cantabria,282,9,5
2020-03-21,CLM,1819,76,112
2020-03-21,CyL,1744,106,74
2020-03-21,Cataluña,5046,290,143
2020-03-21,Ceuta,5,0,0
2020-03-21,C. Valenciana,1604,152,69
2020-03-21,Extremadura,384,8,14
2020-03-21,Galicia,915,35,12
2020-03-21,Madrid,0,834,1021
2020-03-21,Melilla,25,1,0
2020-03-21,Murcia,296,16,1
2020-03-21,Navarra,794,30,14
2020-03-21,País Vasco,2097,81,97
2020-03-21,La Rioja,654,17,18
2020-03-22,Andalucía,0,77,58
2020-03-22,Aragón,638,52,32
2020-03-22,Asturias,594,22,12
2020-03-22,Baleares,400,27,10
2020-03-22,Canarias,481,32,11
2020-03-22,Cantabria,347,14,6
2020-03-22,CLM,2078,142,145
2020-03-22,CyL,2055,120,102
2020-03-22,Cataluña,5747,308,199
2020-03-22,Ceuta,6,0,0
2020-03-22,C. Valenciana,1901,181,94
2020-03-22,Extremadura,493,13,18
2020-03-22,Galicia,1208,47,18
2020-03-22,Madrid,0,942,1263
2020-03-22,Melilla,28,1,0
2020-03-22,Murcia,345,23,2
2020-03-22,Navarra,886,40,24
2020-03-22,País Vasco,2421,92,120
2020-03-22,La Rioja,747,22,22
2020-03-23,Andalucía,0,102,87
2020-03-23,Aragón,758,66,37
2020-03-23,Asturias,662,23,22
2020-03-23,Baleares,478,35,10
2020-03-23,Canarias,557,36,16
2020-03-23,Cantabria,425,16,9
2020-03-23,CLM,2465,182,216
2020-03-23,CyL,2460,137,124
2020-03-23,Cataluña,7864,471,293
2020-03-23,Ceuta,6,0,0
2020-03-23,C. Valenciana,2167,222,115
2020-03-23,Extremadura,636,20,26
2020-03-23,Galicia,1415,55,20
2020-03-23,Madrid,0,1050,1535
2020-03-23,Melilla,28,1,0
2020-03-23,Murcia,385,26,3
2020-03-23,Navarra,1014,45,31
2020-03-23,País Vasco,2728,106,133
2020-03-23,La Rioja,802,24,30
2020-03-24,Andalucía,0,116,113
2020-03-24,Aragón,907,75,40
2020-03-24,Asturias,779,29,25
2020-03-24,Baleares,562,40,13
2020-03-24,Canarias,657,43,21
2020-03-24,Cantabria,510,18,14
2020-03-24,CLM,2780,210,263
2020-03-24,CyL,2940,170,165
2020-03-24,Cataluña,9937,713,385
2020-03-24,Ceuta,9,1,0
2020-03-24,C. Valenciana,2616,255,143
2020-03-24,Extremadura,742,28,39
2020-03-24,Galicia,1653,69,27
2020-03-24,Madrid,0,1150,1825
2020-03-24,Melilla,38,2,0
2020-03-24,Murcia,477,33,5
2020-03-24,Navarra,1197,51,33
2020-03-24,País Vasco,3271,119,155
2020-03-24,La Rioja,928,33,37
2020-03-25,Andalucía,0,134,134
2020-03-25,Aragón,1116,93,48
2020-03-25,Asturias,841,34,27
2020-03-25,Baleares,660,43,17
2020-03-25,Canarias,784,45,24
2020-03-25,Cantabria,671,26,17
2020-03-25,CLM,3383,243,316
2020-03-25,CyL,3488,202,206
2020-03-25,Cataluña,11592,764,501
2020-03-25,Ceuta,10,2,0
2020-03-25,C. Valenciana,3200,289,167
2020-03-25,Extremadura,969,34,58
2020-03-25,Galicia,1915,86,32
2020-03-25,Madrid,0,1221,2090
2020-03-25,Melilla,39,2,1
2020-03-25,Murcia,596,36,8
2020-03-25,Navarra,1411,54,49
2020-03-25,País Vasco,3946,137,180
2020-03-25,La Rioja,995,36,43
2020-03-26,Andalucía,0,148,144
2020-03-26,Aragón,1338,114,58
2020-03-26,Asturias,900,47,29
2020-03-26,Baleares,755,46,22
2020-03-26,Canarias,878,61,27
2020-03-26,Cantabria,810,29,21
2020-03-26,CLM,3934,273,367
2020-03-26,CyL,4132,228,252
2020-03-26,Cataluña,12940,972,685
2020-03-26,Ceuta,17,2,0
2020-03-26,C. Valenciana,3532,325,198
2020-03-26,Extremadura,1231,41,69
2020-03-26,Galicia,2322,98,43
2020-03-26,Madrid,0,1312,2412
2020-03-26,Melilla,42,2,1
2020-03-26,Murcia,714,53,15
2020-03-26,Navarra,1641,75,58
2020-03-26,País Vasco,4601,154,207
2020-03-26,La Rioja,1236,43,55
2020-03-27,Andalucía,0,172,175
2020-03-27,Aragón,1592,124,93
2020-03-27,Asturias,1004,50,33
2020-03-27,Baleares,862,59,26
2020-03-27,Canarias,1025,68,36
2020-03-27,Cantabria,937,37,22
2020-03-27,CLM,4512,289,448
2020-03-27,CyL,4791,249,321
2020-03-27,Cataluña,14263,1036,827
2020-03-27,Ceuta,17,2,1
2020-03-27,C. Valenciana,4034,348,234
2020-03-27,Extremadura,1394,40,88
2020-03-27,Galicia,2772,112,47
2020-03-27,Madrid,0,1404,2757
2020-03-27,Melilla,45,2,1
2020-03-27,Murcia,802,58,17
2020-03-27,Navarra,1829,84,70
2020-03-27,País Vasco,5136,176,241
2020-03-27,La Rioja,1436,43,65
2020-03-28,Andalucía,0,201,207
2020-03-28,Aragón,1858,124,104
2020-03-28,Asturias,1088,57,41
2020-03-28,Baleares,958,71,29
2020-03-28,Canarias,1125,78,39
2020-03-28,Cantabria,1023,40,26
2020-03-28,CLM,5246,299,539
2020-03-28,CyL,5414,278,380
2020-03-28,Cataluña,15025,1080,904
2020-03-28,Ceuta,21,2,1
2020-03-28,C. Valenciana,4784,375,267
2020-03-28,Extremadura,1456,41,100
2020-03-28,Galicia,3139,123,60
2020-03-28,Madrid,0,1429,3082
2020-03-28,Melilla,48,2,1
